video_id,title,channel,views,duration,upload_date,description,thumbnail,url
ONJuh0lXFmA,65. Bhagavad Gita I Chapter 5 Verses 13-15 I Swami Sarvapriyananda,Vedanta Society of New York - Archives,31598,4621,20210322,"Swami Sarvapriyananda teaches Verses 13-15 from the Fifth chapter of the Bhagavad Gita. This series of talks unfolds the highest truths of Vedanta through the study of ""The song of God"".

🔆Bhagavad Gita: Chapter 5, Verse 13:
सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |
नवद्वारे पुरे देही नैव कुर्वन्न कारयन् || 13||
sarva-karmāṇi manasā sannyasyāste sukhaṁ vaśhī
nava-dvāre pure dehī naiva kurvan na kārayan
🔴Mentally renouncing all works, and self-controlled, the embodied being happily sits in the nine-gated city, neither working nor causing others to work.

🔆Bhagavad Gita: Chapter 5, Verse 14:
न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभु: |
न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते || 14||
na kartṛitvaṁ na karmāṇi lokasya sṛijati prabhuḥ
na karma-phala-saṅyogaṁ svabhāvas tu pravartate
🔴The Lord creates neither agency not objects for the world; not contact with the fruits of works; rather, the nature of things operates. 

🔆Bhagavad Gita: Chapter 5, Verse 12:
नादत्ते कस्यचित्पापं न चैव सुकृतं विभु: |
अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तव: || 15||
nādatte kasyachit pāpaṁ na chaiva sukṛitaṁ vibhuḥ
ajñānenāvṛitaṁ jñānaṁ tena muhyanti jantavaḥ
🔴 The mighty Being accepts nobody's sin or merit. Knowledge is shrouded in ignorance; therefore are living beings deluded.

► To support the Vedanta Society of New York: http://bit.ly/SupportVedantaNY

Vedanta NY Media details:
Primary Youtube Channel: https://www.youtube.com/vedantany
Web: http://vedantany.org
Soundcloud: http://Soundcloud.com/VedantaNY
iTunes Podcast: http://bit.ly/vedanta-talks-itunes
Google Play: http://bit.ly/vedanta-talks-google-play
Facebook: https://www.facebook.com/VedantaNY
Instagram: @Vedanta_NY, https://www.instagram.com/vedanta_ny/ 

ABOUT VEDANTA
Vedanta is one of the world’s most ancient religious philosophies and one of its broadest. Based on the Vedas, the sacred scriptures of India, Vedanta affirms the oneness of existence, the divinity of the soul, and the harmony of religions.

ABOUT US
Vedanta Society of New York is affiliated with the Ramakrishna Order of India. In fact, this is the Order's first Center started by Swami Vivekananda, in 1894. It was a historic event, for the seed of the world-wide Ramakrishna Movement was sown here in New York over a century ago. Swami Sarvapriyananda is the present Resident Minister and Spiritual Leader of the Vedanta Society of New York.",https://i.ytimg.com/vi/ONJuh0lXFmA/maxresdefault.jpg,https://www.youtube.com/watch?v=ONJuh0lXFmA
0MOW4o1p_1s,31. Bhagavad Gita l Chapter 3 Verses 16-18 l Swami Sarvapriyananda,Vedanta Society of New York - Archives,58483,4970,20200731,"Swami Sarvapriyananda teaches Verses 16-18 from the third chapter of the Bhagavad Gita. This series of talks unfolds the highest truths of Vedanta through the study of ""The song of God"".

🔆Bhagavad Gita: Chapter 3, Verse 16:
एवं प्रवर्तितं चक्रं नानुवर्तयतीह य: |
अघायुरिन्द्रियारामो मोघं पार्थ स जीवति || 16||
evaṁ pravartitaṁ chakraṁ nānuvartayatīha yaḥ
aghāyur indriyārāmo moghaṁ pārtha sa jīvati
🔴He who fails to conform to the cycle of functions thus established is, Arjuna! a sinner; he revels in the sphere of sense-life; he lives in vain.

🔆Bhagavad Gita: Chapter 3, Verse 17:
यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानव: |
आत्मन्येव च सन्तुष्टस्तस्य कार्यं न विद्यते || 17||
yas tvātma-ratir eva syād ātma-tṛiptaśh cha mānavaḥ
ātmanyeva cha santuṣhṭas tasya kāryaṁ na vidyate
🔴 For the man who delights solely in the Self, who is content with the Self, who finds satisfaction alone in the Self, there is no duty to perform.

🔆Bhagavad Gita: Chapter 3, Verse 18:
नैव तस्य कृतेनार्थो नाकृतेनेह कश्चन |
न चास्य सर्वभूतेषु कश्चिदर्थव्यपाश्रय: || 18||
naiva tasya kṛitenārtho nākṛiteneha kaśhchana
na chāsya sarva-bhūteṣhu kaśhchid artha-vyapāśhrayaḥ
🔴 He has nothing to gain from work done or left undone. On no beings does he depend as regards any interests of his own.

► To support the Vedanta Society of New York: http://bit.ly/SupportVedantaNY

Vedanta NY Media details:
Primary Youtube Channel: https://www.youtube.com/vedantany
Web: http://vedantany.org
Soundcloud: http://Soundcloud.com/VedantaNY
iTunes Podcast: http://bit.ly/vedanta-talks-itunes
Google Play: http://bit.ly/vedanta-talks-google-play
Facebook: https://www.facebook.com/VedantaNY
Instagram: @Vedanta_NY, https://www.instagram.com/vedanta_ny/ 

ABOUT VEDANTA
Vedanta is one of the world’s most ancient religious philosophies and one of its broadest. Based on the Vedas, the sacred scriptures of India, Vedanta affirms the oneness of existence, the divinity of the soul, and the harmony of religions.

ABOUT US
Vedanta Society of New York is affiliated with the Ramakrishna Order of India. In fact, this is the Order's first Center started by Swami Vivekananda, in 1894. It was a historic event, for the seed of the world-wide Ramakrishna Movement was sown here in New York over a century ago. Swami Sarvapriyananda is the present Resident Minister and Spiritual Leader of the Vedanta Society of New York.",https://i.ytimg.com/vi/0MOW4o1p_1s/maxresdefault.jpg,https://www.youtube.com/watch?v=0MOW4o1p_1s
EunxN1rbjO4,36. Bhagavad Gita l Chapter 3 Verse 30 l Swami Sarvapriyananda,Vedanta Society of New York - Archives,49283,4099,20200805,"Swami Sarvapriyananda teaches Verse 30 from the third chapter of the Bhagavad Gita. This series of talks unfolds the highest truths of Vedanta through the study of ""The song of God"".

🔆Bhagavad Gita: Chapter 3, Verse 30:
मयि सर्वाणि कर्माणि संन्यस्याध्यात्मचेतसा |
निराशीर्निनर्ममो भूत्वा युध्यस्व विगतज्वर: || 30||
mayi sarvāṇi karmāṇi sannyasyādhyātma-chetasā
nirāśhīr nirmamo bhūtvā yudhyasva vigata-jvaraḥ
🔴Surrendering all works to Me in a spiritual frame of mind that craves naught, and free from all sense of possessions, fight with unconcern.

► To support the Vedanta Society of New York: http://bit.ly/SupportVedantaNY

Vedanta NY Media details:
Primary Youtube Channel: https://www.youtube.com/vedantany
Web: http://vedantany.org
Soundcloud: http://Soundcloud.com/VedantaNY
iTunes Podcast: http://bit.ly/vedanta-talks-itunes
Google Play: http://bit.ly/vedanta-talks-google-play
Facebook: https://www.facebook.com/VedantaNY
Instagram: @Vedanta_NY, https://www.instagram.com/vedanta_ny/ 

ABOUT VEDANTA
Vedanta is one of the world’s most ancient religious philosophies and one of its broadest. Based on the Vedas, the sacred scriptures of India, Vedanta affirms the oneness of existence, the divinity of the soul, and the harmony of religions.

ABOUT US
Vedanta Society of New York is affiliated with the Ramakrishna Order of India. In fact, this is the Order's first Center started by Swami Vivekananda, in 1894. It was a historic event, for the seed of the world-wide Ramakrishna Movement was sown here in New York over a century ago. Swami Sarvapriyananda is the present Resident Minister and Spiritual Leader of the Vedanta Society of New York.",https://i.ytimg.com/vi/EunxN1rbjO4/maxresdefault.jpg,https://www.youtube.com/watch?v=EunxN1rbjO4
TbEinKHmy88,21. Bhagavad Gita I Chapter 2 Verses 56-57 I Swami Sarvapriyananda,Vedanta Society of New York - Archives,53481,4418,20200619,"Swami Sarvapriyananda teaches Verses 56-57 from the second chapter of the Bhagavad Gita. This series of talks unfolds the highest truths of Vedanta through the study of ""The song of God"".
► To support the Vedanta Society of New York: http://bit.ly/SupportVedantaNY

🔆Bhagavad Gita: Chapter 2, Verse 56: 
दु:खेष्वनुद्विग्नमना: सुखेषु विगतस्पृह: |
वीतरागभयक्रोध: स्थितधीर्मुनिरुच्यते || 56||
duḥkheṣhv-anudvigna-manāḥ sukheṣhu vigata-spṛihaḥ
vīta-rāga-bhaya-krodhaḥ sthita-dhīr munir uchyate
🪔The silent sage is said to have stable wisdom when sufferings no longer perturb his mind, when he ceases to cling to pleasures, and he is rid of attachment, fear and wrath.

🔆Bhagavad Gita: Chapter 2, Verse 57:
य: सर्वत्रानभिस्नेहस्तत्तत्प्राप्य शुभाशुभम् |
नाभिनन्दति न द्वेष्टि तस्य प्रज्ञा प्रतिष्ठिता || 57||
yaḥ sarvatrānabhisnehas tat tat prāpya śhubhāśhubham
nābhinandati na dveṣhṭi tasya prajñā pratiṣhṭhitā
🪔His wisdom is stable who clings to nothing good or evil when these occur to him; he neither seeks nor shuns them.

Vedanta NY Media details:
Primary Youtube Channel: https://www.youtube.com/vedantany
Web: http://vedantany.org
Soundcloud: http://Soundcloud.com/VedantaNY
iTunes Podcast: http://bit.ly/vedanta-talks-itunes
Google Play: http://bit.ly/vedanta-talks-google-play
Facebook: https://www.facebook.com/VedantaNY
Instagram: @Vedanta_NY, https://www.instagram.com/vedanta_ny/ 

ABOUT VEDANTA
Vedanta is one of the world’s most ancient religious philosophies and one of its broadest. Based on the Vedas, the sacred scriptures of India, Vedanta affirms the oneness of existence, the divinity of the soul, and the harmony of religions.

ABOUT US
Vedanta Society of New York is affiliated with the Ramakrishna Order of India. In fact, this is the Order's first Center started by Swami Vivekananda, in 1894. It was a historic event, for the seed of the world-wide Ramakrishna Movement was sown here in New York over a century ago. Swami Sarvapriyananda is the present Resident Minister and Spiritual Leader of the Vedanta Society of New York.",https://i.ytimg.com/vi/TbEinKHmy88/maxresdefault.jpg,https://www.youtube.com/watch?v=TbEinKHmy88
sZbCTefh1a4,अर्जुन का वध। Mahabharat Stories | B. R. Chopra | EP – 137,Pen  Bhakti,18815943,2400,20200824,"अर्जुन का वध। Mahabharat Stories | B. R. Chopra | EP – 137

Mahabharat is an Indian television series based on the Hindu epic.

Watch only on PEN Bhakti Channel and Don't forget to share & subscribe.

Produced & Directed By – B.R. Chopra
Music Composer – Raj Kamal
Script – Rahi Masoom Raza
Presented By - PEN Studios

#mahabharat #brchopra #stories #penbhakti

Please do visit, for the latest updates:- 

www.facebook.com/penbhakti
www.instagram.com/penbhakti 👉 Log On To Our Official Website : https://penstudios.in/",https://i.ytimg.com/vi/sZbCTefh1a4/maxresdefault.jpg,https://www.youtube.com/watch?v=sZbCTefh1a4
wvaY5bG5p7A,How To Level Up So Fast It Feels Like CHEATING (20+ Hours),Daniel Barada,20495,72138,20260420,"Work with me: https://call.omniscienthq.com/
Join the FREE community: https://community.omniscienthq.com/
Subscribe to the newsletter: https://newsletter.omniscienthq.com/

---

The Complete Mind, Reality & Execution Masterclass | 20 Hours on Belief, Identity, Flow, and Mastery

The full compilation. Every training I've released over the past few months, organized into one 20 hour course designed to rewire how you think, feel, create, and execute.

If you've been working hard but spinning in circles, stuck between who you are and who you know you could be, this is the system that collapses the gap. It moves from the hidden mechanics of reality itself, through identity, purpose, state, and execution, until the life you want stops feeling distant and starts feeling inevitable.

What's inside:

1. Foundations of Reality. How reality actually works, why belief is the first cause, and how to stop reacting to the world and start authoring it.

- Included: How Belief Engineers Your Reality, How to Achieve Anything by Being Delusional, How to Achieve Anything by Ignoring Reality, Every Version of You Already Exists, The Manifestation Quadrant.

2. Inner Architecture. The hidden self beneath your conscious mind. Subconscious patterns, identity stack, and the internal mirrors that either trap you or set you free.

- Included: The Unseen Architecture of Your Life, The Ancient Technique That Rewires Your Subconscious, The Identity Stack & How to Speak to Yourself Correctly, The Borrowed State & The Mirror That Corrects.

3. Direction and Release. How to aim at what you want without clenching. The paradox of purpose and the vacuum principle of attraction.

- Included: The Purpose Antidote, Attract Everything By Wanting Nothing, How To Achieve Anything Effortlessly, How To Achieve Anything By Hating Your Life, The Unified Life, The Two Lines That Predict Your Life.

4. Mind and State Mastery. Frequency, focus, discipline, and the neurological upgrades that turn hard things into cravings and boredom into a superpower.

- Included: The High-Frequency Human, How To Stop Overthinking, How To ""Design"" Your Brain for Unbreakable Discipline, How to Hack Your Brain to Crave Doing Hard Things, ""Boredom Tolerance"" Is The Cheat Code To Success, Your Brain Has A God Mode.

5. Systems and Execution. The engine room. Learning loops, hyperfocus, antifragile consistency, and the daily architecture that quietly builds the life of your dreams.

- Included: The 1 Hour Law of Power & How to Build a Learner's Life, The Hidden Truth of Consistency & Procrastination, How to Hyperfocus and Actually Get Things Done, How This One Daily Habit Quietly Builds the Life of Your Dreams, How I Accidentally Discovered A Glitch In Human Productivity, How to Achieve More in 1 Week than Most People Do in 12 Months.

6. Application. Pulling it all together into one sustainable life.

- Included: The 24-Hour Empire.

How to use this video:

Watch it straight through, or take one section per week over six weeks. Keep a notebook open. The value isn't in the consumption, it's in the integration.

Pour a coffee. Silence your phone. Let's build the life your future self is already living.

---

If you found this video valuable, give it a like.
If you know someone who needs to see it, share it.
Leave a comment below with your thoughts.
Add it to a playlist if you want to watch it later.

---

Follow me on Instagram:
https://www.instagram.com/danielbarada/

Follow me on Twitter:
https://x.com/danielbarada

Follow me on Threads:
https://www.threads.com/@danielbarada

Follow me on Medium:
https://medium.com/@danielbarada

Add me on LinkedIn:
https://www.linkedin.com/in/danielbarada/

Follow me on TikTok:
https://www.tiktok.com/@danielbarada

Add me on Facebook:
https://www.facebook.com/thedanielbarada/

Check Out My Channel:
https://www.youtube.com/@danielbarada/videos

Check out some of my other videos:
https://www.youtube.com/@danielbarada/videos

--- 

#selfimprovement #motivation #business #entrepreneur #podcast #lawofattraction",https://i.ytimg.com/vi/wvaY5bG5p7A/maxresdefault.jpg,https://www.youtube.com/watch?v=wvaY5bG5p7A
18Ye7lVvXLU,"170. Bhagavad Gita | Chapter 14, Verses 26-27 | Swami Sarvapriyananda",Vedanta Society of New York,9891,4196,20260213,"Swami Sarvapriyananda teaches verses 26-27 from the fourteenth chapter of the Bhagavad Gita. This series of talks by Swami Sarvapriyananda on the Bhagavad Gita, 'the Song of God,'  unfolds the highest truths of Vedanta.

Chapter 14 is devoted to understanding the Gunatreya Vibhaga Yoga, or the three qualities/components (gunas) of Maya. Swami Sarvapriyananda explains that, other than the Atma, everything in nature is the play of the three gunas. This insight, and transcending the play of the three gunas, is the doorway to infinity.
________________
Chapter 14, verse 26

मां च योऽव्यभिचारेण भक्तियोगेन सेवते |
स गुणान्समतीत्यैतान्ब्रह्मभूयाय कल्पते || 26||
māṁ cha yo ’vyabhichāreṇa bhakti-yogena sevate
sa guṇān samatītyaitān brahma-bhūyāya kalpate

⧫  He who serves me alone through the unswerving yoga of devotion transcends the three gunas and becomes fit for the state of Brahman.

Chapter 14, verse 27

ब्रह्मणो हि प्रतिष्ठाहममृतस्याव्ययस्य च |
शाश्वतस्य च धर्मस्य सुखस्यैकान्तिकस्य च || 27||
brahmaṇo hi pratiṣhṭhāham amṛitasyāvyayasya cha
śhāśhvatasya cha dharmasya sukhasyaikāntikasya cha

⧫  For I am the embodiment of Brahman of immutable immortality, of the eternal religion, and absolute bliss

🙏 *Please Support the Vedanta Society of New York*
http://www.vedantany.org/donate

🌐 *Please Visit Us*
* Website: https://vedantany.org
* Apple & Spotify Podcasts: https://www.vedantany.org/media-channels
* YouTube (Main Channel): https://www.youtube.com/@VedantaNY
* YouTube (Archives): https://www.youtube.com/@VedantaNYArchives
* Facebook: https://www.facebook.com/VedantaNY
* X / Twitter: https://twitter.com/VedantaNY

📙 *Books by Swami Sarvapriyananda*
* https://www.vedantany.org/swamis-books

*Lecture Series by Swami Sarvapriyananda*
📓 Introductory Lectures: https://www.vedantany.org/introductory-lectures 
📚 Vedanta Scriptures: https://www.vedantany.org/by-scriptures
🧩 Lectures by Topics: https://www.vedantany.org/by-topic
💬 AskSwami Q&A: https://www.vedantany.org/ask-swami-qa

🪔 *About Vedanta*
Vedanta is among the world’s oldest spiritual philosophies and one of its most inclusive. Rooted in the Vedas, India’s sacred scriptures, Vedanta upholds the unity of all existence, the divinity of the soul, and harmony among religions.

🏛️ *About This Channel*
This is the official channel of the Vedanta Society of New York, a spiritual institution affiliated with the Ramakrishna Order of India and holds the distinction of being its first established Center, founded by Swami Vivekananda in 1894. Swami Sarvapriyananda currently serves as the Resident Minister and Spiritual Leader of the Vedanta Society of New York.

📜 *Content Use Policy*
https://www.vedantany.org/content-policy",https://i.ytimg.com/vi/18Ye7lVvXLU/maxresdefault.jpg,https://www.youtube.com/watch?v=18Ye7lVvXLU
is37iV_kPqM,"दानवीर कर्ण का वध, क्या था कर्ण पे श्राप? | Mahabharat Stories | B. R. Chopra | EP – 89",Pen  Bhakti,57032022,2824,20200403,"दानवीर कर्ण का वध, क्या था कर्ण पे श्राप? | Mahabharat Stories | B. R. Chopra | EP – 89

As the sun rises in the sky the battle between Karna and Arjun begins. Karna sends a dazzling arrow, which spits fire towards Arjun. Krishna presess Arjun’ss chariot five fingers deep in the mud at the last minute, so that the shaft misses Arjun’s head and only strikes his crown. Arjun burns with anger, fixes and arrow on his bow and kills Karna.

Mahabharat is an Indian television series based on the Hindu epic.

#mahabharat #brchopra #stories #penbhakti

Watch only on PEN Bhakti Channel and Don't forget to share & subscribe.

Produced & Directed By – B.R. Chopra
Music Composer – Raj Kamal
Script – Rahi Masoom Raza
Presented By - PEN Studios

Subscribe Pen Bhakti :- https://bit.ly/3Bg535s

Please do visit, for the latest updates:- 
https://www.facebook.com/BhajanSangrah/
www.facebook.com/penbhakti
www.instagram.com/penbhakti 👉 Log On To Our Official Website : https://penstudios.in/",https://i.ytimg.com/vi/is37iV_kPqM/maxresdefault.jpg,https://www.youtube.com/watch?v=is37iV_kPqM
EbCsYnJqvzc,51. Bhagavad Gita I Chapter 4 Verses 20-22 I Swami Sarvapriyananda,Vedanta Society of New York - Archives,35491,4281,20210117,"Swami Sarvapriyananda teaches Verses 20-22, from the fourth chapter of the Bhagavad Gita. This series of talks unfolds the highest truths of Vedanta through the study of ""The song of God"".

🔆Bhagavad Gita: Chapter 4, Verse 20:
त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रय: |
कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति स: || 20||
tyaktvā karma-phalāsaṅgaṁ nitya-tṛipto nirāśhrayaḥ
karmaṇyabhipravṛitto ’pi naiva kiñchit karoti saḥ
🔴Giving up attachment to the fruits of works, eternally content, independent, the man, engaged in works as he is, does nothing at all.

🔆Bhagavad Gita: Chapter 4, Verse 21:
निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रह: |
शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् || 21||
nirāśhīr yata-chittātmā tyakta-sarva-parigrahaḥ
śhārīraṁ kevalaṁ karma kurvan nāpnoti kilbiṣham
🔴Free from wxpectations, controlling mind and self, renouncing all possessions, one who does but an exclusive form of bodily work incurs no sin.

🔆Bhagavad Gita: Chapter 4, Verse 22:
यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सर: |
सम: सिद्धावसिद्धौ च कृत्वापि न निबध्यते || 22||
yadṛichchhā-lābha-santuṣhṭo dvandvātīto vimatsaraḥ
samaḥ siddhāvasiddhau cha kṛitvāpi na nibadhyate
🔴Content with what is gained by chance, beyond dualities, rid of competitive spirit, equanimous in gain and loss, one is not bound in spite of working.


► To support the Vedanta Society of New York: http://bit.ly/SupportVedantaNY

Vedanta NY Media details:
Primary Youtube Channel: https://www.youtube.com/vedantany
Web: http://vedantany.org
Soundcloud: http://Soundcloud.com/VedantaNY
iTunes Podcast: http://bit.ly/vedanta-talks-itunes
Google Play: http://bit.ly/vedanta-talks-google-play
Facebook: https://www.facebook.com/VedantaNY
Instagram: @Vedanta_NY, https://www.instagram.com/vedanta_ny/ 

ABOUT VEDANTA
Vedanta is one of the world’s most ancient religious philosophies and one of its broadest. Based on the Vedas, the sacred scriptures of India, Vedanta affirms the oneness of existence, the divinity of the soul, and the harmony of religions.

ABOUT US
Vedanta Society of New York is affiliated with the Ramakrishna Order of India. In fact, this is the Order's first Center started by Swami Vivekananda, in 1894. It was a historic event, for the seed of the world-wide Ramakrishna Movement was sown here in New York over a century ago. Swami Sarvapriyananda is the present Resident Minister and Spiritual Leader of the Vedanta Society of New York.",https://i.ytimg.com/vi/EbCsYnJqvzc/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGDUgOih_MA8=&rs=AOn4CLAkBbZ-LmDnRnu5U4gnSNUEEPqjnw,https://www.youtube.com/watch?v=EbCsYnJqvzc
GJuqzkKzDlo,बर्बरीक : पांडवो की समस्या । Mahabharat Stories | B. R. Chopra | EP – 96,Pen  Bhakti,7311189,2571,20200506,"बर्बरीक : पांडवो की समस्या । Mahabharat Stories | B. R. Chopra | EP – 96

Mahabharat is an Indian television series based on the Hindu epic.

#mahabharat #brchopra #stories #penbhakti

Watch only on PEN Bhakti Channel and Don't forget to share & subscribe.

Produced & Directed By – B.R. Chopra
Music Composer – Raj Kamal
Script – Rahi Masoom Raza
Presented By - PEN Studios

Please do visit, for the latest updates:- 

www.facebook.com/penbhakti
www.instagram.com/penbhakti 👉 Log On To Our Official Website : https://penstudios.in/",https://i.ytimg.com/vi/GJuqzkKzDlo/maxresdefault.jpg,https://www.youtube.com/watch?v=GJuqzkKzDlo
